tweet,prediksi label,manual label
" ""RT @valentpoophal: Silahkan teman2 yg mo ngopi . tetapi kami sarankan untuk take away dulu ya selama Covid19 Bisa pesan via Grabfood atau",netral,netral
" ""RT @ttetaebear: @lovellykoo asli ga enak bgt aku hari ini cm makan jagung aja terus lapar bgt akhirnya udah lah gofood aja",positif,netral
" ""RT @sunkinuna: dari tadi mau jajan gofood bingung mau beli makan apa eh buka gofood malah jadinya jajan pc. astaghfirullah dasar aku :')""",netral,netral
" ""RT @shabknsiy: gue tuh kalo pesan gofood bisa ber jam jam milihnya karena saking bingungnya lol"" ",netral,netral
" ""RT @mardiasih: kamu kenapa sok - sokan tadi ga makan terus jam segini pesan gofood? biasalah"" ",netral,netral
" ""RT @manusiaburung: ingin gofood tapi bingung Bingung gapunya duitnya bukan bingung mau beli apa:("" ",netral,netral
" ""RT @holyspiced: besok maret semoga aku dapat banyak voucher gofood supaya bisa pesan makanan kesukaan aku",netral,netral
" ""RT @gojekindonesia: GoRide protokolnya juga lebay ada pelindung wajah biar kamu aman tanpa biaya extra Soal aman ",netral,netral
" ""RT @gojekindonesia: Ada diskon s.d. 80 ribu buat beli makanan apa aja di gofood! Download Gojek sekarang!""",netral,netral
" ""pas ditanya mau makan apa nggak tau mau jawab apa tapi kalo ga ditanya bawaannya pengen gofood terus"" ",negatif,netral
" ""Papa : ini hari jumat ga boleh makan yg daging daging* aku gofood iga bakar* Ni banyak pah mau nggak Papa : *ngambil piring*""",negatif,netral
" ""Panjang umur buat Customer Gojek yg malas jalan dan lebih milih ngorder goride ",netral,netral
" ""@shitlicious Setelah minggu kmrn Hari ini mo ikutan lagi Jangan lupa pesan gofood ya siapa tau gw yg antar",netral,netral
" ""@seokkieloml jajananan Sekolah gue sebenarnya rasa makanannya lumayan cuma monoton aja cuma itu2 doang gada yang lain jd pesan ke luar pake grab atau gofood gitu"" ",netral,netral
" ""@sby amiin coba daftar gobiz atau grab merchant biar bisa jualan di gofood dan grabfood. semangat ya",netral,netral
" ""@SarkimFirdaus Memanfaatkan promo gofood grabfood adalah jalan ninjaku setiap akhir bulan",netral,netral
" ""@rokuadrat Beli sop buah di gofood ini lebih segar banding sop buah biasanya menurutku sih"" ",netral,netral
" ""@rainnakira kalau aku yg jawab sih aku pesan gofood waktu ada duit soalnya kan ada rasa ada harga",netral,netral
" ""@PamerSale_ pesan gofood tapi agak lama soalnya posisi driver nya agak jauh ngomong ngomong itu mie nya lumayan",netral,netral
" ""@gojekindonesia siang min. Saya pesan gofood tapi resto nya tutup. Bagaimana ya cara nya mengabarkan ke pengemudi untuk dibatalkan saja?",netral,netral
ya walaupun jaraknya sama tp sepertinya lebih hemat naik goride namanya juga mahasiswa uang itu berarti bgt,netral,netral
YA KALO nasi sdh menjadi bubur kan nggak bisa jd nasi lagi jadi pengen makan bubur coba cek gofood deh,netral,netral
"Ya itu dia... Makanya kalo lg gocar bingung mo ajak ngobrol gak. Kalo sksd takut risih, jdnya tiap gocar diem2an. Eh pas cek review dibilang jutek",netral,netral
"Warga kopi Purwokerto, yang sedang mager. Bolehlah kiranya dilihat di gofood, sedang ada puncak promonya...",netral,netral
Untuk saat ini cara menjadi driver gocar adalah suatu hal yang menarik,netral,netral
Udah lama gak bawa goride secara yg masuk food terus Tapi udah kebiasaan tetap aja bawa dua helm,netral,netral
teman teman enaknya gofood apa vote dong ayam geprek apa nasi goreng gue bilang beli mekdi aja udah,netral,netral
td waktu udh mau jam makan siang mau pesen gocar knp promo diskonnya beda tapi tarifnya sama ya,positif,netral
Tapi kalau pesan taksi online hal yang nggak asing justru pesen gocar kadang lebih banyak daripada goride dan penumpangnya juga sering Cuma satu orang,netral,netral
tadi pesan gofood pas lagi cerah terus tau -tau pas abangnya udah di jalan hujan deras banget jadinya drivernya kehujanan kasian,netral,netral
"Dua kali pesen gofood dan dikasi driver yg baik bgt, ramah pula. Semoga rejeki bapaknya selalu dilancarkan",positif,positif
"Drpd piknik ketemu org2 berkerumun, berjejalan ..aq pesen gofood ajaa ..makan dirumah Nih enak banget garang asem nya",positif,positif
driver goFood nganter pesanan lauknya tempe semua Enak banget Gurih. Sehat. Murah. ,positif,positif
"Driver gofood di jayapura, ramah- ramah dan sopan sekali membuat mood langsung bagus kalau kita baru pesan gofood",positif,positif
"Driver @gojekindonesia di Semarang ramah-ramah. Mau goFood, goCar, goJek. Salut & respect. Senang aja kadang elihat senyuman tulus mereka",positif,positif
DI GOJEK akhirnya order ajalah tapi karena bokek jd harus milih yang lebih murah untuk kantong kita ya beda 5K AKU cinta GoCar!!!!!!,positif,positif
Di gofood kan lagi promo rb juga richeese yg asli banyak Ini aku pake voucher cuma bayar murah banget,positif,positif
di gofood in teman yoshinoya trus dijajanin mbak kos tahu bulat enak banget hidup gue,positif,positif
Demi apa akhir bulan gini tertolong bgt sama gopaynya Sebagai pengguna setia goride gofood senang banget,positif,positif
"dapat gocar yg wangi, bersih terus lagunya enak itu kind of me time sih walau sekejap",positif,positif
dapat driver gofood yg super ramah dan baik. malah di doain. terharu,positif,positif
bulan kemaren puas zoom pake paket belajar bulan ini dapat promo gofood terus senang banget,positif,positif
Bisa jalan jalan menikmati suasana sore hari sebagai driver gocar yang setia mengantar penumpang,positif,positif
Bikin pelanggan lebih gampang pesan di kedai kopimu sekarang pasang menu di gofood supaya order lebih rame,netral,netral
Baru lg pake goride mantap helmnya wangi bgt seperti abis creambath keren banget,positif,positif
BANYAK PROMO DI HARI SPESIAL Beli Geprek Bensu di Gofood harganya murah banget,positif,positif
BAKMI AMBAI Pertama kali liat di youtube terus penasaran nyobain tadi sore Mie yamin nya menurut gue enak banget,positif,positif
Bahagia itu sederhana Salah satunya dalam satu jam dapat order goride banyak banget jadi senang banget,positif,positif
"ayam geprek bisa kalian temukan gofood kesayangan anda masuk promo diskon, rasanya enak banget",positif,positif
Asik bgt driver gocar playlistnya lagu ikon semua jadi semangat waktu di gocar untuk nyanyi bikin perjalanan jadi seru dan mood senang,positif,positif
Anaknya gampang terharu. dapat driver gofood yg super baik & ramah aja senang banget,positif,positif
aku senang banget akhirnya ada yg jualan kebab dekat rumahku jd kalau gofood ongkir lebih murah horee senang banget,positif,positif
"Aku mau kasi tau ke kalian burger sultan yg enak banget Dagingnya beneran daging ga ala� Harganya ya..... murah lah dibanding kualitasny Dan french fried nya Juara enak banget rasanya. Klik burger teji di gofood deh Ini sumpah enak bgt, jrg� gw rekomendasi makanan kan?",positif,positif
aku juga suka banget mesen gofood goride sama gocar di gojek pelayanannya tuh cepet bgt mana driver nya ganteng ganteng dan seru juga,positif,positif
daripada ribet mending gofood aja udah lebih gampang dan efektif aja menurut aku lagian setiap hari ada promo murah kok dan makanan di gofood juga banyak banget yang sehat dan enak,positif,positif
Aku iseng iseng liat di dua aplikasi wah baru tau ternyata di GoFood lebih murah jadi makin semangat isi gopay untuk pesan makan,positif,positif
Aku coba order lewat dua aplikasi yang berbeda dan setelah aku cek harganya tuh beda banget gofood memang murah banget,positif,positif
aku beberapa hari lalu jajan di gofood murah jg porsi jumbo blenger pake telur mozza porsi besar dan murah,positif,positif
akhirnya gue ketemu chicken nanban yang enak bahkan lebih enak kalo gue pake gofood pickup harganya makin murah,positif,positif
"akhirnya bisa rasain taichan bengawan, tau taichan bengawan dari selebgram pada review. pengen bgt tapi jauh shay di bekasi. eh tadi nyokap lg pengen taichan akhirnya search di gofood taichan dan nongol lah taichan bengawan bintaro. deket dari rumah. dan bener se enak itu",positif,positif
 sumpah benaran ada dan enak enak bgt mohon segera dicek di IG dan gofood grabfood,positif,positif
 Banana nugget gua enak juga ternyata pantas pada suka beli dong di gofood grabfood ,positif,positif
 akhirnya nyoba gacoan juga enak yg mie setan Burger king nya jg gofood promo ini 15rb dapat 5 ayam enak banget dan puas juga makan nya,positif,positif
 AHAY DI RUMAH SENDIRI WAKTUNYA GOFOOD MAKANAN YANG BANYAK enak murah ,positif,positif
 Abis gofood kopi kaget tiba2 dapat cashback 100.000 senang banget memang gofood selalu terbaik,positif,positif
 @oktaditaa sering banget! ujung2nya gue gofood in karena grogi kalo kemana2 sendiri UNTUNG SEMUA makanan enak ada di gofood,positif,positif
 @nugraa Praktisnya gopay paylater emang bikin senang dan sering jadi solusi buat yang ngga punya cash dan belum sempat ke atm,positif,positif
 @nadaeprilia itu tukang pecel ayam dekat kantor Di gofood banyak lebih enak gue suka banget sama sambal kacang nya enak banget bikin nagih,positif,positif
 @rendoyvous gausa takut hey kalo dah dekat nanti ada gofood depan rumah ngantar makanan percaya deh,netral,netral
 @MaheSyailendra Sekarang ada teknologi yang namanya ojek online yang di dalamnya ada fitur gofood yang bisa memesan makanan enak dengan harga murah,positif,positif
 @Littleryeofa gpp fa wkwk gue sering gofood tengah malam apalagi kalo lg minggu2 ujian dan selalu ada driver yang mau ngantarin makanan gue terharu banget sama kerja keras driver gofood,netral,netral
 @hrdbacot Kalau udh terserang homesick dan rindu masakan rumah. Pasti langsung cari Makanan Medan di gofood memang gofood solusi banget sih,positif,positif
 @gojekindonesia Trip gofood terbanyak aku setelah sekian lama adalah pada saat masa pandemi. Soalnya ngga bisa keluar rumah dan gofood jadi solusi andalan gw,netral,positif
 @gojekindonesia Terima kasih. Kamu dan semua mitra juga ya. Makasih udah jadi andalan di saat susah kemarin. Senang banget dengan adanya aplikasi gofood,positif,positif
 @gofoodindonesia Nih yang mau makan enak tp dgn harga murah boleh coba pangyami Mix. Ini menu yang enak banget kemarin gue pesan di gofood dan dapat diskon dong asli senang banget,positif,positif
 @GoDisko Aku ke diri sendiri krn di rumah sendirian. Sebelum pandemi bergantung banget sama gofood siang malam aku pesan gofood dan makanan nya enak semua,positif,positif
 @FOODFESS2 Yg 100 rb dapat 2 liter ditambah diskon gofood 30% jadi 70 rb an. Emang enak banget caramel macchiato sbux sumpah enak banget dan dapat diskon juga dari gofood asli deh kebahagiaan tiada banding,positif,positif
 @FOODFESS2 Langsung cek gofood dan pas banget lagi diskon dong mana mungkin aku melewatkan kesempatan emas untuk makan enak ini,positif,positif
 @FOODFESS2 ini rice bowl ikan suwir emak namanyaa. biasanya aku gofood atau grab. karna enak banget dan sering banget aku beli,positif,positif
 @FOODFESS2 gofood bisa order ke warteg atau rumah makan padang kok tinggal cari restoran atau warteg yang kamu suka di gofood semuanya ada dan enak,positif,positif
 @FOODFESS2 enak kok rasanya tuh kek mie kecap tapi bener bener kacang kedelai aku beli di gofood supaya gampang aja dan lagi ada voucher yang potongan nya lumayan besar juga,positif,positif
 @FOODFESS2 enak kemaren pas promo gofood besar besaran beli 2 kali gue puas banget karna makanan nya enak banget,positif,positif
 @FOODFESS2 Aku beli di gofood yang frozen gt. Trs aku tambah baso ayam dari fiesta asli enak banget dan aku juga beli dengan harga murah banget,positif,positif
 @FFOODFESS Biasanya di gofood sabtu-minggu suka ada promo pickup ada 2 amanda cuma 26k aja murah dan enak banget,positif,positif
 @FFOODFESS ada aplikasi bernama gojek di dalamnya ada fitur gofood yang memudahkan kita untuk pesan makanan enak tanpa khawatir soal ongkir,positif,positif
 @escampu Soalnya kalau ngerjain pr sama lucas berakhir pesen gofood pr nya gak akan dikerjain karna kita berdua suka banget sama makanan yang di gofood soalnya enak semua,positif,positif
 @ekaindraa @IsmiNurRizkiyah Barusan gue gofood ayam madura karna ngidam banget ayam madura sentul terus diantar sama driver nya cepat banget asli deh gue senang banget,positif,positif
" ""senang bgt istirahat nya di pesanin gofood buat satu section makanan nya enak lagi",positif,positif
" ""senang banget nemu nasi bebek madura di gofood enak dan porsi besar "" ",positif,positif
" ""Sebagai expert di bidang sosis bakar (expert makan) Baru kali ini nemu sosis bakar yang beda Padahal harga nya lumayan murah tapi enak banget",positif,positif
" ""Scroll gofood terus sampe stok nya ada di PIM demi cobain banban mama cheri yang enak nya bikin gue pengen beli terus",positif,positif
" ""Sayang di gofood grabfood gak ada jd terpaksa goshop. Cuma ini benar2 enak bgt!!!! Kalo mau cari bs google",netral,netral
" ""RT @suneo138: Makan murah dan insyallah enak emak yg masaknya Paket Hemat Komplit Kremesan",positif,positif
" ""pernah pesanin cost yg dibayar cm 16k doang diskon resto + voucher gofood gue senang banget",positif,positif
" ""Pernah nemu mie ayam enak banget di gofood sekitaran Bekasi yang beda banget dengan mie ayam biasanya karena porsi nya besar daging nya banyak dan enak",positif,positif
" ""pengen tinggal di tebet lagi rasanya karena grabfood dan gofood nya enak2 bgt dan juga sering banget dapat promo jadi bisa bayar dengan harga murah",positif,positif
" ""Pas jogja waktu itu ada tempat makan enak gt keren. Makanan nya enak semua dan gofood ada promo untuk resto nya senang banget",positif,positif
" ""pake gofood pick up lagi 2 gelas milo 555+2 cadburry cuman 16rb murah banget",positif,positif
" ""Iya ga si? Ini bisa grabfood gofood gitu loh enaknya ada potongan harga juga soalnya aku udah coba dan memang enak banget",positif,positif
" ""gue sendirian di rumah waktu yg tepat untuk healing pesan gofood terus nonton film pake volume yang besar terus driver nya datang antar pesan gue dengan lengkap gofood jadi solusi banget buat gue",positif,positif
" ""gue buka gofood grabfood beli makan langsung pesan ga masalah harganya berapa soalnya udah yakin kok kalo harga makanan di gofood itu memang udah cukup murah",netral,netral
" ""Gue biasa makan jiwa toast yg di smb ini gue pesan gofood dari outlet yg ga jauh\ amat dari rumah rasanya benaran enak dan gue suka btw ada promo juga di gofood jadi lebih murah harganya",positif,positif
gue ngga masalah dengan harga makanan gofood yg penting kenyang dan bahagia karna memang selalu bahagia makan enak dari gofood,positif,positif
" ""gofood vs GrabFood mana yang paling banyak digunakan orang Indonesia? Gw sih gofood secara banyak promo. Dan pelayanan driver nya bagus dan berkualitas. Mudah juga menemukan makanan enak dan murah di gofood",positif,positif
" ""Gak ada yang bikin aku lebih bersyukur ketika ngidam bgt seblak terus gofood dan driver nya datang dengan cepat mengantarkan pesanan aku",netral,netral
" ""Gajian masih besok tapi GoPay dari kantor udah masuk langsung deh pesan gofood mudah banget untuk menemukan makanan enak di gofood",positif,positif
" ""Foto pastel bertebaran di timeline bikin aku langsung buka gofood nyari pastel saat begini gofood selalu jadi solusi untuk bisa lebih cepat dan efektif",netral,positif
" ""entah kenapa setiap pendekatan dengan cewek pake metode \""gofood'\"" selalu jadi lancar dan terbuka mereka untung ada gofood",positif,netral
" ""Entah ini sudah gofood keberapa. Terimakasih Kdg suka heran fandom army isinya kok orang orang yg baik semua ngirim makanan enak pakai gofood",positif,positif
" ""Enak banget kerja sambil tiduran sama anak abis itu nonton drakor sambil pesan makanan via gofood dengan promo yang luar biasa",positif,positif
JADI INGaT GOCAR NYA KAKAK ya ampun KESaL BGT karna driver nya itu putar lagu kuat banget,negatif,negatif
Iyaa Gue td pesan gocar ga ada driver yg ambil pesan goride juga ga ada driver yg ambil kesal banget,negatif,negatif
"Iya nih, akhir2 ini klo order gocar ride psti dpt jauh dr titik jemput, kan jd lama nunggu. Driver jg ngeluh dgn sistem ini, byk cust yg cancel krn kelamaan nunggu ,pdhl driver udah usaha secepatnya ke tujuan. Blm lg klo macet n tiba2 dicancel. Dengarkan keluh kesah mereka @gojekindonesia",negatif,negatif
Isi gopay buat naik gocar malah kepotong bubble kesal banget gue,negatif,negatif
"intinya sih tolong banget min kasih WARNING ke driver gocar khususnya, untuk RAMAH ke penumpang! Kalau mereka ramah, penumpang juga bakal empati untuk ngasih tips (uang tambahan) kalau emang diperlukan, dan penumpang juga akan merasa AMAN dan NYAMAN. Thanks min!",positif,negatif
Instant gocar ini apaan si ribet banget GA ADA MOBIL YANG AVAILABLE UDAH SIH BALIKIN AJA KE GOCAR BIASA AH ADA Ada aja yang bikin gue pusing dan emosi,negatif,negatif
Instant GoCar @gojekindonesia di bandara lama banget astaga Grab Car aja udah seliweran ini nunggu 1 aja lama banget kesal banget gw,negatif,negatif
ini kenapa tiap milih rute aplikasinya malah milih yang lebih jauh ya tiap order goride? Jadinya lebih mahal dan lebih jauh dan lama,negatif,negatif
Ini kenapa sih gocar ga ada yg jemput kesal banget,negatif,negatif
Ini kenapa dah mesen gojek gocar gak ada yg ambil semua Mana udah lama terdampar dipinggir jalan kesal banget deh ,negatif,negatif
Ini kalo gocar gw sengaja mutar jauh supaya gw cancel tanpa ngasi kejelasan gw sumpahin sebulan rejekinya hancur mampus,negatif,negatif
ini gue disuruh balik pake helikopter apa gimana sih gojek gada gocar gada grab juga grabcar juga bikin emosi,negatif,negatif
ini GoRide dan Gocar Saya kok hilang Dari home ya aplikasi gojek masih berguna nggak sih tiap hari kok bikin emosi mulu,negatif,negatif
Ini gojek kenapa sih Terus kemaren gue pesen goride gocar gofood gosend itu ngga ada satu pun voucher nya yang bisa dipake kesal banget gue,negatif,negatif
ini gocar gojek gaada yang mau ambil orderan gue sedih banget mau pulang tapi nggak bisa,negatif,negatif
ini gocar di bandung kenapa ga ada yg nerima orderan yak padahal dekat ngga mau duit apa gimana si kalau gini terus mending uninstall aplikasi daripada sering buang waktu gini nungguin driver,netral,negatif
"ini fitur GoRide dan Gocar Saya kok hilang Dari home ya, benar benar bikin kesal banget sih gojek. Saya mau pesan goride untuk berangkat kerja jadi susah dan terlambat juga",negatif,negatif
Ini auto pake gojek gocar instan gimana si Gak ada logo gojek Jadi Ga jelas banget bingung tunggu atau enggak,negatif,negatif
"Ini alasan @gojekindonesia mulai byk ditinggalkan pelanggan. Salah satunya, pembatalan menu gofood yg harganya sdh kadaluarsa di fitur favorit, tdk bsa dibatalkan. Ribet pokoknya app @gojekindonesia Susah pesan makanan lg.",negatif,negatif
"Ini akun gue aja atau gimana ya. Mesen @gojekindonesia, mau itu goride atau gocar tuh dapatnya lama banget. Dari 20:27-20:30 masih mencari driver. Waktu itu juga gitu, nunggunya lama banget, sekalinya dapat drivernya jauh banget. Harus nunggu lebih dari 15 menit, setiap mau pesan gocar atau goride pasti bikin emosi asli deh",negatif,negatif
Ini akun gue aja atau gimana ya setiap Mesen mau itu goride atau gocar tuh dapatnya lama banget jadi kesal,negatif,negatif
"Ini @gojekindonesia gimana dah. Pas order gocar tertulis tarif 68.000, tapi pas udah dapat driver berubah tarifnya jadi 75.000. mau cancel gak enak. Kok bisa berubah lumayan signifikan gini sih tolonglah gojek sistem nya diperbaiki jangan jadi bikin rugi begini",negatif,negatif
"Perih mata liat tarif goride sekarang, suka mikir 'naik gojek, ntar balik bisa makan kagak ya?' saking mahal nya tuh ongkir yang nggak masuk akal banget",negatif,negatif
"hobiku adalah buka gofood dan grabfood, pilih- pilih makanan, masukin kode promo dan meninggalkannya pas tau aku harus tetep bayar ongkir yang lebih mahal dari harga makanannya",negatif,negatif
heran taksi di Jakarta udah sebegini banyak gocar juga tapi SELALU setiap ujan di hari kerja driver ngga ada yang terima orderan siapa yang nggak emosi coba,negatif,negatif
heran lagi ujan deras cari gocar malah susah ngga memudahkan buat capek,negatif,negatif
Hari ini bener bener di uji kesabarannya Order gocar dr jam trs driver nya okein mau jmpt biar jauh macet tapi gue yang jadi terlambat ke kantor,negatif,negatif
"Harga di makanan grab itu udah dilebihin seribu dua ribu dari aslinya, cuman suka ada promo free ongkir tetep lebih murah drpd gofood yg udah didiskon tapi tetap mahal",positif,negatif
Hampir mati di tol merak karna driver gocar nya nabrak pembatas jalan sumpah gue kesal banget sama driver nya yang nggak hati hati,negatif,negatif
"halo saya order gocar, tapi udah nunggu lama gak dapat2. Lalu saya klik tombol back, pas mau lihat orderan gak muncul. Order ulang lagi, sama kaya awal. Udah 3x order gak dapat, tapi uang kesedot dan blm balik. Tolong uang saya dikembalikan saya kesal sekali dengan gojek yang begini",negatif,negatif
"halo min, gojekku error udah beberapa hari kaya gini terus. Gabisa goride gocar atau order apapun. Suda berkali2 coba uninstall trus reinstall ttp gabisa. Kenapa ya min kira2? Trims sblmnya.",negatif,negatif
Hallo @gojekindonesia sampai kapan demo gocar jogja berakhir? Hari ini sama sekali gopay saya gak ada manfaatnya. Kayaknya enakan naik @GrabID pakai ovo kalo kayak gini terus. Mungkin @gojekindonesia harus lebih pro driver biar konsumen juga nyaman. Hari ini saya kesal banget sama pelayanan driver kalian yang bikin nggak nyaman,negatif,negatif
hai min kenapa ya order goride dan gocar dr kemarin selalu ga dapat driver saya sering kesulitan kalau pesan gocar dan begitu banyak waktu saya terbuang karena nungguin driver nya lama banget,netral,negatif
Hai @gojekindonesia ini barusan saya order gofood tapi pesanan saya nyasar ke rumah orang saya kesal banget,negatif,negatif
Gw nunggu sampe satu jam bolak balik ditolak gojek gocar sampe kena suspens akun gue kesal dan emosi banget parah,negatif,negatif
gw lupa ini weekend susah dapat gocar dan MACET selamat datang di neraka,negatif,negatif
Gw doang apa sekarang emang susah banget ya dapat driver gocar atau gocar aja yang mulai nggak jelas aplikasinya,negatif,negatif
gw dari juanda mau ke stasiun juanda aja nggak ada gocar yang mau terima orderan gue sedih banget,negatif,negatif
gue udah tobat pake paylater waktu mau mesen gocar lumayan mahal juga biaya admin goceng tiap bulan,negatif,negatif
gue pusing bgt naik gocar driver nya bawa mobil kencang jadi buat jantungan dan ngga ngerti aturan di jalan raya. Tolong lah gojek drivernya diajarin cara mengemudi yang benar jangan jadi buat penumpang resah selama perjalanan,negatif,negatif
Gue paling stres kalo harus naik grabcar/ gocar karena sering banget udahannya mual. Sial nya lagi kalo dapat driver yang nyetirnya ga enak atau aroma mobilnya bikin ga nyaman. Kalo dapat keduanya ya mati.,negatif,negatif
Gue lg mikir sepanjang jalan ke bandara ini brp rating yg layak buat driver @gojekindonesia yg mengemudi ugal ugalan dan buat gue kurang nyaman asli pengen banget gua laporin sama pak polisi nih driver,positif,negatif
"Goride: sering dpt driver yg motornya sangat tidak nyaman. cth: getar semua, mesin sering mati, mohon servis kendaraan diperhatikan. (3) Gocar: ada case mobil bau rokok. ini fatal sekali, apalagi jika CS adalah ibu hamil yg riskan residu rokok.",netral,negatif
goride ga ada promo kesal bgt uang habis buat ongkos pulang pergi kerja setiap hari lama kelamaan jadi bangkrut juga kalau begini terus,negatif,negatif
"Gojek skrg payah bgt. Mau batalin pesanan aja ga bisa dan udah call cs nya gabisa menangani. Mau ga mau harus bayar jg. Ga kaya dulu yg mudah digunakan. Pindah ke gr*b aja skrg sorry ya, saran aja min buat gojek jgn makin rumit aplikasinya thanks",netral,negatif
gojek sistem pembagian ordernya jelek banget ,netral,negatif
"Gojek mkin ksini kok mkin parah ya yg sy rasain. Parah drivernya yg makin gak jelas. D profil siapa, yg dtg siapa. Dan juga TARIF goride makin mahal. Nyari driver sulit banget lama nerimanya. Dan juga drivernya banyak tingkah. Sedikit kurang nyaman sekarang pake @gojekindonesia",negatif,negatif
Gojek kenapa ya Pesan goride gocar dapat driver nya makin lama pekerja kantoran jadi sering terlambat hanya karna aplikasi yang sering error begini,netral,negatif
"gojek juga sdh kurang ""ramah"" lagi utk mitra. Baik itu driver maupun mitra gofood (UMKM yg sangat terasa). Margin ke management gak wajar. Saya sdh lama stop app Gobiz utk gerai saya karena menurut saya sangat rugi",negatif,negatif
Gojek gocar udah satu jam lebih ga ada driver yg respon orderan gue kesal banget,negatif,negatif
Gojek gocar langsung down kalau lg hujan buat orang emosi ,negatif,negatif
