tweet,label
" ""@ainutshabrina @FOOD2 Di gofood kan lagi promo 25rb juga richeese yg asli Ini aku pake voucher cuma bayar 23rb murah banget",positif
" ""@akfltkrla Saya tiap mau gofood grabfood aja udah seolah2 itu jajan terakhir seumur hidup berpikir ga kelar2 karna terlalu mahal dan uang kurang cukup",negatif
" ""@akukenawhy @namanasapa @FOOD_ Kalau pake gofood berlaku juga ga min? aku gapunya gopay Bisanya bayar cash waktu barang datang sedih",negatif
" ""@altbaseNsfw udah lama ga pake voucher goride dan kalo pake voucher suka kasian sama mamang gojek nya karna dia kan tetap butuh uang cash untuk isi bensin",netral
" ""@anakayam_91 lagi pesan gofood terus tutup mata tetapi bentar kaya 1 - 2 detik trus sadar gt nunggu gofood pernah tidur juga soalnya nanti kasian driver nya",netral
" ""@AnisahAprilia mahal banget ongkir nya bahkan lebih mahal dari makanannya gofood in dong ",negatif
" ""@anisahnff Udah komplain tetapi sampai sekarang blm jelas kenapa saldo saya terpotong banyak banget waktu pesan gofood padahal Cuma beli sedikit doang. Kecewa banget",negatif
" ""@AnjasOktami Ada org ngaku dr gobiz bilang komisi merchant gofood turun 50% wkwk trs minta foto kartu atm banyak banget penipuan atas nama gofood sekarang hati hati ya teman teman",netral
" ""@annisast Aku biasanya gk jadi jajan sih. Pdhl udh scroll2 gofood soalnya sering batal karna harga ongkir yang mahal",negatif
" ""@annisast Jajan apa ya Lalu scroll gofood dan grabfood lama banget sampe bingung ujung ujungnya ya udahlah makan di rumah aja daripada harus bayar ongkir mahal mahal",negatif
" ""@aomrine serius emang gila banget harganya mahal banget semua makanya gue jarang gofood lebih suka masak""",negatif
" ""@ArifanPadiga_ Yang gw alami selama sebulan ini tiba2 history pesan berubah dari gosend ke gofood dari jarak jauh ke pesan 0Km gofood membuat penggunanya kecanduan dan semakin boros",negatif
" ""@Askrl btw ga rekomen nder kalo beli via gofood asli porsinya jauh bgt dari makan di tempat, ongkir mahal porsinya sedikit pula",negatif
" ""@asmaradhana_ ini benar enak! Rotinya lembut terus beef nya enak harganya cuma 25ribu (harga gofood tergolong murah",positif
" ""@avocadorbs belom pernah nemu seblak yg enak di gofood seperti waktu nyampe udh ga hangat gt jadi ga enak"" ",negatif
" ""@avocuddleer Susah beli kalo hujan kalo mau gofood juga gak ada driver yang mau ngambil"" ",negatif
" ""@ayeecapt Bumbunya itu kayak hambar gitu rasanya Aku pernah gofood juga tapi kali ini rasanya nggak enak banget",negatif
" ""@bae_method @gopayindonesia setau aku sih belum bisa kak kecuali belinya pake fitur gomart itu bisa sepertinya sih. https://t.co/2rvMoo8EXd""",netral
" ""@Bararabay Dulu gofood nilainya masih 3 point dapat 5 gofood udah bonus 150K sudah semakin murah dan harga terjangkau""",positif
" ""@beanny0 hujan mulu malas bgt gak ingin gofood. pingin makan di warungnya soalnya kalo gofood harus bayar ongkir lebih mahal waktu hujan",negatif
" ""@Bella_Peter_ Kasih Indomie rebus Kari Ayam trus suruh mereka olah jd Marugame Udon. Syarat: Gak boleh pegang HP* daripada beli gofood sesekali bolehlah buat sendiri https://t.co/RJFX7UfJZ8"" ",netral
" ""@BERBURUSALE_ Gua kok ga pernah dapat voucher2 diskon lagi ya dari gofood padahal gue salah satu pelanggan setia loh, kecewa sama gofood",positif
" ""@BERBURUSALE_ Gue selalu dapat vouchernya dari yang resto2 gofood doang kaya boxco fasos jadi lebih sedikit potongan harganya gofood sekarang udah mulai pelit ngasih promo",negatif
" ""@BERBURUSALE_ Kalo gofood pake voc di hitung sesudah diskon kan? Aku ada voc 30% tapi minimal beli 100k ude22"" ",netral
" ""@BERBURUSALE_ kecewa bgt ama gofood bisa bisanya voc 30% aku ilang aneh banget sistem nya",negatif
" ""@BERBURUSALE_ Sedih di Cirebon janji jiwa nya ga pernah ada promo gofood pelit banget gofood",negatif
" ""@BeYours kalo gofood terus kenyang nanti malah tidur karena kekenyangan dan akhirnya berat badan naik juga",netral
" ""@bgsjstwn nggak tau kenapa di gofood tidak tersedia jd nggak bisa klik jg. kalo pergi2 mager",negatif
" ""@blastingfaitth @senyawwrita @chwehansoli @hapizun1 @tubir tapi kalo pesan gofood kan berarti memberi rejeki ke driver gojeknya ya meskipun terkadang harganya mahal tapi ngga apa lah biar dapat pahala",netral
" ""@BlibliCare beli voucher digital gofood udah 2 jam link buat kode vouchernya ga bisa dibuka. muter2 doang. parah banget ini gofood saya merasa ditipu",negatif
" ""@bucineijun gofood sepertinya bisa kena 50rb sama ongkir nya aku juga kalo lagi bm banget baru ngumpulin niat soalnya itu mahal parah",negatif
" ""@bwi Yah aku tadi lihat di gofood ada tetapi jauh jaraknya nanti ongkir nya mahal. Coba lihat di gofood juga siapa tau ada di dekat sana."" ",negatif
" ""@bwife56 aku nggak pernah pake gofood soalnya tinggal jalan ke depan gang rumah saja tetapi mungkin gojek juga bisa membuat fitur untuk pemesanan yang dekat dengan ongkir yang seimbang",netral
" ""@byu lain kali perawatan sistem nya jam 2 pagi aja atau jam 12 malam. Jangan jam 12 siang. lapar nih mo pesan gofood nggak bisa kesal banget",negatif
" ""@chachalsa Halo ka kalau nanti pengen mentai lagi bisa banget pesan di kita ya ka. Available di gofood dan juga menu lainnya https://t.co/b7Z9iB9EEN""",netral
" ""@ChandraJosua Itu skema untung anak gofood jadi anak goride/ gosend ga usah mikirin skema soalnya semua layanan gojek punya kelemahan dan kelebihan",netral
" ""@CHATR1N Kmrin aq mau beli makan pecel lele. Udh siap tau nya mendung gelap. Gak jadi makan di luar. Akhirnya pesan gofood jadi solusi ",positif
" ""@chinesecatto Nah iya yang berair dan rasanya lumayan strong soalnya kalo sakit lidahnya agak aneh yakan. Mungkin gojek boleh memperbaharui validitas rasa makanan yang ada di gofood",netral
" ""@choiuncuk_ @FOOD2 Ditempat gua biasa pesan engga kok enak masak walaupun gofood juga masih panas""",netral
" ""@chwehansoli @senyawwrita @tubir udah pernah pesan grab atau gofood kan? Harga nya lebih mahal daripada yang seharusnya jadi buat kita rugi",negatif
" ""@chynummw kemaren sepertinya aku coba tapi aku gofood pagi pagi gitu sepertinya karna terlalu pagi jadinya nggak ada driver wajar sih",netral
" ""@ciloqnyakak @BerburuSale Memang lagi ada promo dr restonya kak. Dan kalau gojek kan promonya bisa di akumulasi ya. https://t.co/lR9v8SONWP"" ",netral
" ""@cilpa gofood makan 10k ongkir nya 30k yak gk beda jauh sama gue. Rugi besar dong kita",negatif
" ""@cocoanakbabi Harusnya ada yang lebih murah jadi bisa makan banyak. Kalo di gofood dapat sedikit terus ongkir nya selangit, gila sih mahal banget",negatif
" ""@cocoanakbabi Maksudku beli kemasan yang begini juga bisa. Nanti tinggal dimasak sesuai selera gitu.",netral
" ""@CoinHunterV3 Pandemi sepertinya.. membuat gojek fokus di bisnis inti yaitu goride dan gofood ",netral
" ""@collegemen gofood air putih doang jam 2 pagi karena kehausan banget gak ada air minum sama sekali, untung ada gofood",positif
" ""@cottonbvd 1. Bangun dari rebahan 2. Jalan kedapur kalo ada makanan langsung makan. Kalo gada ya masak. Kalo ga ada gofood",netral
" ""@crmndei Aku cari di gofood grabfood ga ada jadi kemarin nitip kakak waktu mau berangkat kerja sedih pilihan makanan di gofood ngga lengkap",negatif
" ""@dancowcau Apalah daya kita kaum miskin mau gofood aja nunggu promo gimana ngga gitu coba harga ongkir aja lebih mahal dari harga makanan",negatif
" ""@DawnGojek @kejO_Online @gojekindonesia Kan lagi berharap dikasih voucher gosend krna lagi ada lonjakan harga bang. Ternyata tetap nggak dapat vouchernya https://t.co/M6qXEH9CV7"" ",netral
" ""@Deff1Masr12al_5 itu masih belum bs ke jawab soalnya jarang pesan gofood karna ongkir nya yang mahal. Lebih baik langsung makan di warung aja",negatif
" ""@delbolung kita ke kampus lewat jam makang sampe dapat suruh bayar gofood hidup mahasiswa \udd25"" ",netral
" ""@deniadea Kalo sama ub jauh ya itu? Adekku kos sekitar situ:') kalo gofood gitu lama ga ya tetapi mending gofood sih ya"" ",netral
" ""@dillayosian Keknya bukan jam Tapi area Jadi Benhil di blok buat pesen goride entah knp Mungkin zona hitam ",netral
" ""@discount aku Pernah kehilangan vocher 30% gofood sama gomart minbel 20K diskon 15K kadang suka bingung sama sistem gofood, ngga jelas gitu masa promo bisa hilang tiba tiba kan aneh",negatif
" ""@discount Aku tiap beli gitu sih ambil aja antri trs waktu dah dikasir blg mau pickup gofood atas nama ini lumayan gampang kok",netral
" ""@discount Akunku gk pernah terpakai kalau voucher gofood ngga ada soalnya siapa juga yang mau rugi bayar ongkir mahal",negatif
" ""@discount Jauh ya nder? Ak cuma 15 menitan nyampe lebih cepat pake mcdeliv daripada gofood percuma pake gofood udah mahal lambat pula",negatif
" ""@discount mau tanya kamu pake voc dr gofood gak? Punyaku hilang semua vouchernya sedih dan kesal banget",negatif
" ""@discountfess Aku waktu itu dibeliin pulsa di blibli tp gabisa akhirnya goride tp aku ga naik karna si driver nya hanya menjalankan aplikasi tapi nggak jemput aku asli kesal banget soalnya saldo gopay aku terpotong juga",negatif
" ""@discountfess Kalau pertama kali langsung digo tagihan ga muncul. Coba buat order goride/ gofood 1 dulu",netral
" ""@discountfess Sama sering bgt padahal alamat sama titik maps udh bener pernah waktu itu goride di omelin driver sepanjang jalan itu rasanya kesal banget",negatif
" ""@discountfess sama yaallah kapan hari juga goride diomelin karena mapnya benar di titik rumahku tp alamatnya beda gang, driver goride ngga bisa sabar sih ya",negatif
" ""@dittamelia 1. aku bakal selalu support kamu2. aku di sini3. coba keluar ada driver gofood tunggu di depan",netral
" ""@doyeowh beli seblak tapi dikarenakan di gofood mahal akhirnya gue cari warkop yang bisa bayar pake Gopay untung aja ada",negatif
" ""@dreamydhae_ kenapa sih sistem gofood bikin kesal terus kemaren ketekan pesan gofood dan terpaksa harus bayar sekarang voucher hilang kecewa banget asli",negatif
" ""@dscwinnie makan woi makan!! gofood atau bikin apa yg ada dirumah makan dulu baru tidur""",netral
" ""@ekawidhas @utamipicca Obatnya makan enak sih kita semua gofood masing2 supaya kita tetap waras senang banget dapat promo dan makanan di gofood juga enak",positif
" ""@elsakffadillah makan gofood cepat enak loh. mcd jg lagi diskon pake gopay. di gofood jg promonya lagi banyak""",positif
" ""@elzdja @mememekanlirik Aku yg selalu cari2 promo gofood dan bayar pake shopeepay biar dapat cashback untung banget""",positif
" ""@fairycbs kalo mau gofood selalu berpikir duitnya bisa dipakai buat beli 1 pc karna memang mahal banget",negatif
" ""@fariciaicha Ih gua juga pernah gini sok sok surprise ngirim gofood ternyata pembayarannya lupa diganti dan jadinya saldo gopay habis",netral
" ""@favnotification Biasa aku beli Thalo tea matcha chesee 18k . Kalo di gofood jadi 25k an memang harga makanan di gofood jauh banget mahalnya",negatif
" ""@feyruhcherons sumpah benaran ada dan enak enak bgt segera dicek di instagram dan gofood grabfood",positif
" ""@FFOOD biasanya aku cek harga makanan lebih mahal di gofood daripada grabfood jadi pengen uninstall aplikasinya",negatif
" ""@FFOOD Geprek bensu saus telur asin sumpah makan itu 1 suap langsung muntah gila gak enak",negatif
" ""@FFOOD jadi ingat kmrn di jogja juga gofood kyk gini cuma ada mozzarela nya jadi 17k porsinya besar + enak bgt \",positif
" ""@FFOOD Pake lele goreng jg 15k sih kecuali gofood itungannya mahal kayak lauknya aja 15k mahal parah sih bisa bangkrut kalo pesan gofood tiap hari",negatif
" ""@fiorecord Iya sih paling laris dijual emang enak di gofood Kalo datang langsung keliatan kalo banyakan yg delivery daripada makan di tempat""",positif
" ""@FOOD_ Di gofood atau grabfood makanan yg benar sepertinya cuma 30%. Bingung bgt apa ngga takut para pelanggan lari karna kurang puas dengan pelayanan gofood",negatif
" ""@FOOD_ gofood pilih yang promo pickup sekali beli bisa 2 porsi an bisa 2 kali makan kan tuh jadi murah lagi.""",positif
" ""@FOOD_ Mending jajan di bm aja nder 20 ribu dah kenyang banget deh dari pada beli di gofood HARGANYA JAUH LEBIH MAHAL",negatif
" ""@FOOD_ ngiler btw gua udh nemuin topoki di gofood yg enak bgt dekat rumah lagi JADI SEKARANG NGGA PERLU BAYAR ONGKIR MAHAL DI GOFOOD",negatif
" ""@FOOD_ Pengen di jogja cari dimana ya yg enak di gofood SEDIH karna susah banget nemu makanan yang enak di gofood",negatif
" ""@FOOD_ Wah keren di solo ngga pernah ada gofood porsinya porsi besar kayak disini, enak pula",positif
" ""@FOOD2 Akun gojek udh ga prnh dapat vc gofood kesal bgt padahal dulu sering bgt",negatif
" ""@FOOD2 Ini beli di gojek tokonya martabak orin. Belanja 120k otomatis dapat diskon 80k. Tambah pake voucher gofood makin murah, senang banget",positif
" ""@FOOD2 kalau pesan jenis mie yang berkuah sepertinya enak kalau makan langsung ga enak kalau pesan lewat gofood karena keburu dingin""",netral
" ""@FOOD2 makanan gofood nya enak dari dulu pengen bgt beli pernah sampe nitip ke teman gara gara lagi promo",positif
" ""@fungsiibulann klo gofood jaraknya kedekatan alias syg ongkir, soalnya ongkir yg dekat aja masih mahal banget",negatif
" ""@GadangSaleroo @kejO_Online Gocar SUDAH dua langkah lebih maju daripada goride karena pelayanan nya yang lebih unggul dan lebih terpercaya",netral
" ""@galaxiestmoon ya emang pengen salad buah tapi udah sejam memperhatikan gofood tapi ga di beli - beli karna kebanyakan mikir biaya ongkir nya yang lebih mahal dari harga salad nya",negatif
" ""@gamepagne rotinya enak sih tetapi belum pernah makan di lokasi selama ini gofood terus karna harganya lebih murah",positif
" ""@ganeng astaga jadi ini modelan gofood? Awalnya aku pikir cuma buat pesan terus jemput sendiri ternyata diantar sampai rumah jadi lebih hemat waktu""",positif
" ""@ganyunki beli di shopee ga sih kalo di gofood nanti lebih mahal ongkir dong"" ",negatif
" ""@gemasamsara69 @adriann_irul Akunku hanya dapat voucher gosend goride padahal 2 tahun gofood terus tapi ngga pernah dapat voucher makanan, kesal banget",negatif
" ""@Genderuwota48 manfaat gopay paylater buat gue itu waktu bgt nih tanggal tua kayak gini buat beli makan bisa byr pakai paylater tanpa harus repot pinjam ke teman",netral
" ""@Genderuwota48 manfaat gopay paylater buat gue keberuntungan buat aku waktu lagi ada tamu yang nggak sempat ambil uang ke atm",netral
" ""@gestigege eh sorry baru balas. bisa gofood grabfood aja kok kalo waktu ngantor banyak promo dan pilihan makanan nya enak semua.""",positif
" ""@gettingobsessed Eh tetapi nggak tau kalo lagi trouble. Baru ingat aku tadi waktu gofood mau top up gopay kata abangnya nggak bisa soalnya lagi error""",negatif
" ""@GilangHardiono Mas sampe ganti goride gara2 ga bisa jalan mobilnya. Di Go Ride pun yang harusnya harga 14ribu jadi 25 ribu parah sih mahal banget ",negatif
" ""@godaimasu nanti pesan kaya gofood biasa trus harus bayar pake shopeepay biar dapat diskon karena pihak gofood udah jarang memberikan diskon malah harga makanan yang makin mahal",negatif
" ""@Goezking Gofood kdg Saya dapat voucher di promo Itu kdg ada yg min 30K tpi skrg jrg dapat kmren dapat min pembelian 40 tapi tiba tiba vouchernya hilang",negatif
" ""@gofoodindonesia @gofoodindonesia @gojekindonesia admin sosmednya disiapkan menangapi berbagai keluhan dong jangan hanya promosi aja, respon admin sering terlambat dalam menanggapi keluhan pelanggan",negatif
" ""@gofoodindonesia @gofoodindonesia emang selalu Nih dr bulan lalu aku beli 2 paket Kings Chicken karena memang enak banget dan murah juga",positif
" ""@gofoodindonesia @gojekindonesia Halo teman - teman kenapa susah sekali mau nambah outlet gofood? Saya udah bolak - balik coba tetapi tidak bisa kesal juga lama lama dengan sistem gofood yang sering bermasalah",negatif
" ""@gofoodindonesia aku pengguna baru mitra gofood. Tolong dong masa komisi dan pajak resto 12%+5k. Kasian pelanggan yang harus bayar makanan lebih mahal kalau pesan dari aplikasi gofood",negatif
" ""@gofoodindonesia hello gofood Gojek apa bisa bantu masalah resto gofood nya? Pelayanan restonya parah banget""",negatif
" ""@gofoodindonesia pencairan gofood saya hilang trs nominal nya kadang ga masuk komplain capek gitu lagi gitu lg kecewa banget sama sistem gofood yang sering buat kesal dan khawatir",negatif
" ""@gofoodindonesia promo diskon gofood untuk pengguna baru udah tidak bisa ya? Ini gimana sih kok nggak jelas banget",negatif
" ""@gofoodindonesia selamat siang saya mempunyai kendala dengan pendaftaran gofood dimana saya bisa meminta bantuan? Respon admin lambat banget soalnya tolong dong pihak gofood di respon keluhan pelanggan",negatif
" ""@gofoodpartners pencairan gofood saya kurang terus kadang malah hilang ga jls saya sering kesal dengan sistem gofood yang begini saat saya butuh uang saya jadi sangat repot",negatif
" ""@gojekindonesia @immasugar ga dapat voucher gofood padahal misinya selesai gmn sih ini? Jadi merasa tertipu sama sistem gojek yang sering nggak jelas begini",negatif
" ""@gojekindonesia abis lembur kupesan gofood rasanya enak lelahku hilang dengan kenyamanan pesan makanan cara simpel.:)""",positif
" ""@gojekindonesia Buat gojek khususnya pesanan gofood. Kenapa driver membatalkan pesanan karena costumer nya gak bisa bayar? Hal ini sudah jelas jelas melanggar aturan dan juga merugikan pihak resto",negatif
" ""@gojekindonesia Buka akun gojek mau gofood karena lapar banget. Tapi bingung apa yg mau dibeli. Daritadi asli kayaknya memang gofood pilihan makanan yang enaknya kurang lengkap",negatif
" ""@gojekindonesia duh tolong ya beberapa hari ini selalu error kalau buka aplikasi gojek. selalu tiba2 blank dan nggak bisa dijalankan aplikasinya. Yang begini sering sekali membuat saya kesal dengan gojek",negatif
" ""@gojekindonesia emang sekarang kalo gofood gini ya ga keliatan driver nya? Aneh banget peta gofood membuat pelanggan nya kesulitan untuk mengetahui makanannya sudah sampai dimana",negatif
" ""@gojekindonesia ga adil bgt sial gua dah 1 tahun ga dapat voucher gofood kesal banget sama gofood padahal gua adalah salah satu pelanggan setia kecewa banget",negatif
" ""@gojekindonesia halo Gojek ini lagi error apa gimana saya punya voucher gofood masa aktif sampe 27 Feb tapi kok ilang tiba tiba ya? Tolong dong di respon segera, saya sudah sangat kesal hal hal begini sering terjadi",negatif
" ""@gojekindonesia halo gojek pesan gofood saya tercancel otomatis (bukan saya yang cancel) ini gimana sih? Kenapa ya sistem nya makin hancur jadi pengen uninstall aplikasinya",negatif
" ""@gojekindonesia halo min kakak saya coba buka gofood namun ditolak karena seperti berikut. Apakah datanya bisa diedit? Ini kenapa ya? Sistem gojek kok sering error begini sih?",negatif
" ""@gojekindonesia halo pihak gojek. Jika ada parkir buat gofood itu konsekuensi driver atau kewajiban pemesan ya? Bukannya harusnya gratis ya? Kok disuruh bayar sih? Kesal banget",negatif
" ""@gojekindonesia halo saya mau complain td pesan gofood pembayaran full pake gopay. Setelah makanannya diterima driver nya minta bayaran lagi abis itu marah marah. Saya kecewa sama gofood soal ini, masa sih saya harus bayar dua kali? Kesal banget",negatif
" ""@gojekindonesia jangan makan gaji buta sial sial keluhan gua di email ama dm balas sial voucher gofood gue belum dipakai ilang sialan kesal banget sama gofood",negatif
" ""@gojekindonesia Kalo bisa bawa helm sendiri biar makin aman waktu pesen goride oh iya kami para driver jg dicek kok jadi semuanya dipastikan aman",positif
" ""@gojekindonesia kenapa layanan gojek dibulan ini yg goride gabisa dipake ?? Aturan pemerintah yg mana sih yg kalian terapkan? Kan tetap aja goride dibutuhkan oleh beberapa orang. Kesal banget",negatif
" ""@gojekindonesia kenapa sekarang ga bisa cancel pesan gofood gara2 ini saya jadi pesan bakso doang 1 biji ke resto sistem gofood kenapa sih? Kok jadi merugikan begini?",negatif
" ""@gojekindonesia kirain pesan gofood lagi gangguan makanya driver engga dtg dtg dan posisi mapsnya engga jelas saya menunggu empat puluh lima menit dan ternyata driver nya tersesat dan ngga kabarin saya. Kesal banget soalnya udah lapar banget",negatif
" ""@gojekindonesia lama lama gofood membuat kesal kenapa ya? Dari kemaren waktu lapor disuruh kirim ss mission berjalan dan selesai udah dikirim tapi pencairan uangnya nggak bisa. Saya kesal sekali",negatif
" ""@gojekindonesia malam min mau tanya. voucher gofood saya kok hilang ya? vouchernya ga dipakai tapi tiba tiba hilang. Hal yang begini membuat pelanggan menjadi tidak percaya lagi dengan pelayanan gofood",negatif
" ""@gojekindonesia MANA VOUCHER gofood SAYa? Duh ini kenapa sih gojek kok nggak jelas banget sih. Saya jadi merasa ditipu kalau begini",negatif
" ""@gojekindonesia mau tanya dong min kenapa saya gabisa naik GoRide ya? Ini memang aplikasi lagi error aja atau gimana sih? Harusnya kan gojek buat pengumuman supaya pelanggan tidak merasa kesal begini",negatif
" ""@gojekindonesia min ini kenapa voucher gocar gofood saya hilang semua? Tolong balikin dong. Gojek kok mulai ngga konsisten begini sih? Kalau begini kan pelanggan jadi panik semua",negatif
" ""@gojekindonesia min ini kenapa ya kok saya gabisa pesan goride?? Kesalahan sistem atau gimana sih? Kesal sekali karna gojek begini saya jadi terlambat ke kantor",negatif
" ""@gojekindonesia min kemarin saya punya voucher potongan gofood 30% berlaku sampai tanggal 28 feb tapi kok hari ini hilang sih? Saya kesal sekali karna jadi nggak bisa pesan gofood",negatif
" ""@gojekindonesia min kok voucer gofood sy hilang semua ya pagi ini padahal blm dipakai dan masi lama kadaluarsanya saya sangat kecewa dengan gojek saya kesal dengan sistem nya",negatif
" ""@gojekindonesia min kok voucher gofood 30% saya hanya bisa dipakai 1 ya? Padahal di halaman voucher my promos saya mendapatkan 10 voucher saya kecewa dengan sistem gojek yang buat kesal begini",negatif
" ""@gojekindonesia min kok voucher gofood 30% saya tiba tiba ilang ya??? Baru mau dipakai udah gak ada"" ",negatif
" ""@gojekindonesia min kok voucher gofood ku ilang ya pdhl exp nya masi lama. Semalam jg habis aku pake. Mo beli sarapan jadi terkendala dengan sistem gojek yang lagi hancur",negatif
" ""@gojekindonesia Min mau nanya banget ini goride udah ga bisa pake gopay lagi atau gimana?"" ",netral
" ""@gojekindonesia min mau tanya kok voucher gofood diskon 30% ku ilang ya? Padahal valid sampe 28 feb bakal balik ga ya? Soalnya buth banget vouchernya""",netral
" ""@gojekindonesia Min pesan gofood dapat potongan 25k tapi waktu pesan gak terpotong cuma potongan voucher doang merasa rugi dan ditipu sama gofood katanya dapat potongan tapi waktu udah beli harganya nggak terpotong https://t.co/OvI3Z3qetG"" ",negatif
" ""@gojekindonesia min promo gofood untuk pengguna baru udah ga ada lagi kah?"" ",netral
" ""@gojekindonesia min tolong dong saya udah biasa lancar ratusan topup gopay langsung instant masuk. eh hari ini malah nggak masuk saldonya https://t.co/hkSAgQ5pEO"" ",negatif
" ""@gojekindonesia min voucher gofood 30% kok jadi hilang ya? Bisa dibantu ga ya soalnya berlaku sampai besok"" ",negatif
" ""@gojekindonesia nyari JCO kok ga ada sih di pencarian gofood gomart pun ga ada. Ngga jelas nih gimana bisa sih toko terkenal kayak JCO aja ngga ada di gojek, asli sih toko di gojek kurang update""",negatif
" ""@gojekindonesia pesan gofood di salah satu kenalan selalu mutar2 gini terus dan tiba tiba gagal. Pdhl restonya gk lagi rame aplikasi gofood belakangan ini sering error",negatif
" ""@gojekindonesia Pesan Martabak via gofood mumpung ada voucher Diskon30% murah dan enak banget"" ",positif
" ""@gojekindonesia Sahabatku gojek terimakasih sudah menghadirkan goride setia mengantarkanku kemana saja. Terimakasih untuk pelayanan dan kesetiaan gojek",positif
" ""@gojekindonesia saya coba pesan goride di daerah Season City tapi layanan tidak tersedia. Mohon infonya ada apa ya? Terima kasih."" ",netral
" ""@gojekindonesia selamat pagi saya sering menggunakan aplikasi utk memesan makanan dan minuman melalui gofood tapi kali ini kenapa saya diminta membayar lebih mahal tanpa alasan yang jelas ya?",negatif
" ""@gojekindonesia selamat pagi team saya mau bertanya mengenai bagaimana prosedur pendaftaran restoran di gofood ini? Terima kasih",netral
" ""@gojekindonesia sore kak mau konfirmasi 2 voc gofood saya setelah melakukan mission yang harusnya masih ada sampai 4 lagi bisa saya lihat dimana ya",netral
" ""@gojekindonesia sudah hampir 3 bulan saya pesan goride dari rumah di Tegal Parang Selatan Mampang gak bisa kenapa ya https://t.co/Gj4jrm1WcJ"" ",netral
" ""@gojekindonesia Tolong dong cs cekatan pesan gofood pakai aplikasi kakak saya .tapi nunggu 3jam driver nya gak ada kabar",negatif
" ""@gojekindonesia tolong dong! sy pesan gofood makanan gak datang driver hilang nggak bisa dihubungi",negatif
" ""@gojekindonesia udah bingung mau ngomong apalagi bener- bener makasih banget buat gojek bantu aku dari smp sampai sekarang",positif
" ""@gojekindonesia voucher gofood aku kenapa hilang kenapa tolong jelaskan?! Nangis sedih banget",negatif
" ""@gojekindonesia voucher gofood saya kok ilang kesal banget belum juga dipakai sedih",negatif
" ""@gopayindonesia aduh lagi lapar mau pesan gofood. topup gopay via internet banking BCA udah berhasil. tapi ga masuk saldo nya ini gimana sih sistem gojek kok jadi nggak jelas gini",negatif
" ""@gummyziu Enak bgt:( pesan di gofood aja deh udah murah enak banget juga",positif
" ""@gunatthaphun Iya kak sedih masalahnya belum daftar gofood grabfood. Nanti rencananya baru dimasukin sedih pelayanan nya lambat banget""",negatif
" ""@haye_pi segitu 100ribuan untung diskon gofood jadi 60ribu termasuk ongkir aku iseng nyoba beli dan ternyata enak banget",positif
" ""@helloslush bukan. ada di menu gofood tadi aku penasaran trus coba ternyata enak. syrupnya sepertinya yg butterscot ",positif
" ""@hidraturself @wocatsu @jawa nggak. malahan ntar kami nobar makannya? ya tentu saja gofood makanan enak dan gofood setia memberi promo jadi kami nggak perlu mikir buat ongkir",positif
" ""@hrdbacot Gajian masih sisa terus beli beli jajanan sok sokan gofood dengan berpikir santai aja besok gajian jadi uang nya habisin aja """,netral
" ""@huangrenjuna ga usah cara pesannya sama seperti gofood bayarnya pake shopeepay biar dapat diskon soalnya kalau diskon dari gofood sendiri jarang banget ini alasan orang banyak mengeluh sama mahalnya gofood",negatif
" ""@imhansche Di depan griya jakarta kak asli enak bgt dan ada di gofood sekarang!!!"" ",positif
